abs_delta_anwg,acquisition_priority,acquisition_type,active_sequences,alt_policy_id,alternative_policy,burst_pressure,canonical_alt_action,canonical_ref_action,cf_anwg,cf_extra_steps,cf_finished,cf_num_completed,cf_num_dropped,cf_sim_duration,chosen_native_policy,chosen_policy_id,completed_count_pre,completion_count_delta,contention_score_v2,delta_anwg,disagree,disagreeing_p6,fairness_pressure,fold,high_burst_pressure,high_fairness_pressure,high_kv_pressure,high_prefill_decode_pressure,high_service_heterogeneity,high_urgency_pressure,kv_pressure,kv_pressure_manifest,kv_utilization_mean,live_fingerprint_unchanged,n_disagreeing_p6,n_elevated_mechanisms,prefill_decode_pressure,priority_skew,queue_length,queue_size,raw_stage1_policy_id,ref_replay_anwg,ref_replay_live_fingerprint_unchanged,ref_replay_matches_reference,ref_replay_minus_reference_anwg,reference_anwg,reference_num_completed,reference_policy,reference_sim_duration,scenario_id,seed,service_heterogeneity,sim_duration_delta,sim_time,step,subsequent_trajectory_diverged,terminal_utility_effect,urgency_pressure
0.0,0.07857062647610427,AGREEMENT_CONTROL,1,weighted_fair_share,weighted_fair_share,0.715182,"((0, (0,)),)","((0, (0,)),)",0.1928770189717766,604,True,42,0,0.618,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.527716,3,True,False,False,False,True,True,0.0,0.512775,0.0036151162301904243,True,0,3,0.530599,1.0,1.0,1,weighted_fair_share,0.1928770189717766,True,True,0.0,0.1928770189717766,42,live_p6_dwell_router_v1,0.618,joint_mm_0000,20260824,0.975834,0.0,0.014,14,False,False,1.0
0.0,0.0037636499146627878,AGREEMENT_CONTROL,2,weighted_fair_share,weighted_fair_share,0.715182,"((0, (1,)),)","((0, (1,)),)",0.1928770189717766,603,True,42,0,0.618,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.527716,3,True,False,False,False,True,True,0.0036151162301904243,0.512775,0.018159653621421665,True,0,3,0.530599,1.0,1.0,1,weighted_fair_share,,,,,0.1928770189717766,42,live_p6_dwell_router_v1,0.618,joint_mm_0000,20260824,0.975834,0.0,0.015,15,False,False,1.0
0.0,0.45678642651043627,AGREEMENT_CONTROL,3,weighted_fair_share,weighted_fair_share,0.715182,"((0, (2,)),)","((0, (2,)),)",0.1928770189717766,599,True,42,0,0.618,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.527716,3,True,False,False,False,True,True,0.0184118710328303,0.512775,0.02055571902980369,True,0,3,0.530599,1.0,1.0,1,weighted_fair_share,,,,,0.1928770189717766,42,live_p6_dwell_router_v1,0.618,joint_mm_0000,20260824,0.975834,0.0,0.019,19,False,False,1.0
0.0,0.871932508053468,AGREEMENT_CONTROL,4,weighted_fair_share,weighted_fair_share,0.715182,"((0, (3,)),)","((0, (3,)),)",0.1928770189717766,598,True,42,0,0.618,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.527716,3,True,False,False,False,True,True,0.020639791500273237,0.512775,0.040396822060616254,True,0,3,0.530599,1.0,1.0,1,weighted_fair_share,,,,,0.1928770189717766,42,live_p6_dwell_router_v1,0.618,joint_mm_0000,20260824,0.975834,0.0,0.02,20,False,False,1.0
0.0,0.5091228093236692,AGREEMENT_CONTROL,5,weighted_fair_share,weighted_fair_share,0.715182,"((0, (4,)),)","((0, (4,)),)",0.1928770189717766,595,True,42,0,0.618,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.527716,3,True,False,False,False,True,True,0.040817184412963975,0.512775,0.04930850393038799,True,0,3,0.530599,1.0,1.0,1,weighted_fair_share,,,,,0.1928770189717766,42,live_p6_dwell_router_v1,0.618,joint_mm_0000,20260824,0.975834,0.0,0.023,23,False,False,1.0
0.0,0.06923904052127433,AGREEMENT_CONTROL,1,estimated_service_time_first,estimated_service_time_first,0.701056,"((0, (0,)),)","((0, (0,)),)",0.2064313283043397,411,True,61,0,0.421,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.032183,1,True,False,True,False,True,True,0.0,0.886263,0.01706056129985229,True,0,4,0.257561,1.0,1.0,1,chunked_prefill_small,0.2064313283043397,True,True,0.0,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.01,10,False,False,1.0
0.0,0.7023173768061542,AGREEMENT_CONTROL,2,estimated_service_time_first,estimated_service_time_first,0.701056,"((0, (1,)),)","((0, (1,)),)",0.2064313283043397,399,True,61,0,0.421,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.032183,1,True,False,True,False,True,True,0.017872968980797637,0.886263,0.028729689807976366,True,0,4,0.257561,1.0,1.0,1,chunked_prefill_small,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.022,22,False,False,1.0
0.0,0.4858415426073582,AGREEMENT_CONTROL,3,estimated_service_time_first,estimated_service_time_first,0.701056,"((0, (2,)),)","((0, (2,)),)",0.2064313283043397,394,True,61,0,0.421,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.032183,1,True,False,True,False,True,True,0.029394387001477104,0.886263,0.040472673559822744,True,0,4,0.257561,1.0,1.0,1,chunked_prefill_small,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.027,27,False,False,1.0
0.0,0.16457251619087598,AGREEMENT_CONTROL,4,estimated_service_time_first,estimated_service_time_first,0.701056,"((0, (3,)),)","((0, (3,)),)",0.2064313283043397,379,True,61,0,0.421,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.032183,1,True,False,True,False,True,True,0.04372230428360414,0.886263,0.05561299852289513,True,0,4,0.257561,1.0,1.0,1,chunked_prefill_small,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.042,42,False,False,1.0
0.0,0.9412362598371659,AGREEMENT_CONTROL,5,estimated_service_time_first,estimated_service_time_first,0.701056,"((0, (4,)),)","((0, (4,)),)",0.2064313283043397,363,True,61,0,0.421,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.032183,1,True,False,True,False,True,True,0.06026587887740029,0.886263,0.1069423929098966,True,0,4,0.257561,1.0,1.0,1,chunked_prefill_small,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.058,58,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (17, 18)),)",0.2064313283043397,335,True,61,0,0.421,weighted_fair_share,weighted_fair_share,2,0,0.07142857142857142,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,least_laxity_first,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.3849335302806499,0.886263,0.40775480059084196,True,5,4,0.257561,1.127684514177848,3.0,3,weighted_fair_share,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.08600000000000001,86,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (24,)),)",0.2064313283043397,330,True,61,0,0.421,weighted_fair_share,weighted_fair_share,3,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,least_laxity_first,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.42481536189069424,0.886263,0.4326440177252585,True,5,4,0.257561,1.127684514177848,8.0,8,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.091,91,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (22,)),)",0.2064313283043397,318,True,61,0,0.421,weighted_fair_share,weighted_fair_share,4,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,least_laxity_first,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.4299852289512555,0.886263,0.44091580502215655,True,5,4,0.257561,1.127684514177848,10.0,10,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.10300000000000001,103,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (19,)),)",0.2064313283043397,314,True,61,0,0.421,least_laxity_first,least_laxity_first,5,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.42895125553914326,0.886263,0.4843426883308715,True,5,4,0.257561,1.127684514177848,12.0,12,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.107,107,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (31,)),)",0.2064313283043397,308,True,61,0,0.421,least_laxity_first,least_laxity_first,6,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.46964549483013296,0.886263,0.5222304283604136,True,5,4,0.257561,1.127684514177848,17.0,17,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.113,113,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (51,)),)",0.2064313283043397,295,True,61,0,0.421,least_laxity_first,least_laxity_first,7,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.48589364844903987,0.886263,0.5649187592319055,True,5,4,0.257561,1.127684514177848,33.0,33,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.126,126,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (39,)),)",0.2064313283043397,277,True,61,0,0.421,least_laxity_first,least_laxity_first,8,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.564549483013294,0.886263,0.6330871491875923,True,5,4,0.257561,1.127684514177848,33.0,33,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.14400000000000002,144,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (49,)),)",0.2064313283043397,276,True,61,0,0.422,least_laxity_first,least_laxity_first,9,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.6254062038404726,0.886263,0.6656573116691286,True,5,4,0.257561,1.127684514177848,32.0,32,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0010000000000000009,0.146,146,True,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (38,)),)",0.2064313283043397,268,True,61,0,0.421,least_laxity_first,least_laxity_first,10,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.6533234859675037,0.886263,0.6963072378138848,True,5,4,0.257561,1.127684514177848,31.0,31,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.153,153,False,False,1.0
0.0,,DISAGREEMENT,16,full_prefill,full_prefill,0.701056,(),"((0, (44,)),)",0.2064313283043397,265,True,61,0,0.421,least_laxity_first,least_laxity_first,11,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,estimated_service_time_first,weighted_fair_share,kv_constrained_online",0.032183,1,True,False,True,False,True,True,0.6818316100443131,0.886263,0.7357459379615953,True,5,4,0.257561,1.127684514177848,30.0,30,least_laxity_first,,,,,0.2064313283043397,61,live_p6_dwell_router_v1,0.421,joint_mm_0001,20260825,0.682245,0.0,0.156,156,False,False,1.0
0.0,0.4662865902210475,AGREEMENT_CONTROL,1,weighted_fair_share,weighted_fair_share,0.466389,"((0, (0,)),)","((0, (0,)),)",0.295183539213585,2631,True,66,0,2.638,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,False,,0.282054,2,False,False,False,False,True,False,0.0,0.260025,0.04826335084470312,True,0,1,0.436614,1.0,1.0,1,estimated_service_time_first,0.295183539213585,True,True,0.0,0.295183539213585,66,live_p6_dwell_router_v1,2.638,joint_mm_0002,20260826,0.612698,0.0,0.007,7,False,False,0.512317
0.0,,DISAGREEMENT,4,full_prefill,full_prefill,0.466389,(),"((0, (2, 5, 6)),)",0.295183539213585,2543,True,66,0,2.652,estimated_service_time_first,estimated_service_time_first,0,0,0.0,0.0,True,"full_prefill,chunked_prefill_small,weighted_fair_share,least_laxity_first,kv_constrained_online",0.282054,2,False,False,False,False,True,False,0.05200498885067463,0.260025,0.09168902830794814,True,5,1,0.436614,2.0791623609381644,6.0,6,estimated_service_time_first,,,,,0.295183539213585,66,live_p6_dwell_router_v1,2.638,joint_mm_0002,20260826,0.612698,0.014000000000000234,0.109,109,True,False,0.512317
0.0,0.4143586730044985,AGREEMENT_CONTROL,4,estimated_service_time_first,estimated_service_time_first,0.466389,(),(),0.295183539213585,2528,True,66,0,2.638,chunked_prefill_small,chunked_prefill_small,0,0,0.5,0.0,False,,0.282054,2,False,False,False,False,True,False,0.07135568237650705,0.260025,0.07135568237650705,True,0,1,0.436614,1.0,3.0,3,chunked_prefill_small,,,,,0.295183539213585,66,live_p6_dwell_router_v1,2.638,joint_mm_0002,20260826,0.612698,0.0,0.11,110,False,False,0.512317
0.0,0.9247878529167382,AGREEMENT_CONTROL,4,estimated_service_time_first,estimated_service_time_first,0.466389,(),(),0.295183539213585,2527,True,66,0,2.638,chunked_prefill_small,chunked_prefill_small,0,0,0.25,0.0,False,,0.282054,2,False,False,False,False,True,False,0.09070637590233947,0.260025,0.09070637590233947,True,0,1,0.436614,1.0,4.0,4,full_prefill,,,,,0.295183539213585,66,live_p6_dwell_router_v1,2.638,joint_mm_0002,20260826,0.612698,0.0,0.111,111,False,False,0.512317
0.0,0.38273202437693926,AGREEMENT_CONTROL,4,estimated_service_time_first,estimated_service_time_first,0.466389,(),(),0.295183539213585,2526,True,66,0,2.638,chunked_prefill_small,chunked_prefill_small,0,0,0.0,0.0,False,,0.282054,2,False,False,False,False,True,False,0.09191579424770399,0.260025,0.09191579424770399,True,0,1,0.436614,2.0791623609381644,5.0,5,estimated_service_time_first,,,,,0.295183539213585,66,live_p6_dwell_router_v1,2.638,joint_mm_0002,20260826,0.612698,0.0,0.112,112,False,False,0.512317
