axis,branch_id,branch_type,candidate_canonical_action_id,candidate_hash_roundtrip_match,completed_count,completed_ids_hash,condition_id,continuation_policy,decision_step,first_step_warning_count,first_step_warnings,forced_once,live_fingerprint_unchanged,mean_latency,median_latency,original_live_state_not_mutated,outside_population_completed_count,p95_latency,policy_forever_switch,population_count,population_ids_hash,regime_stage,sbs_hash_match,source_dataset,state_id,unfinished_count,validity_class,window_index,source_shard_file
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1144::sbs_reference,SBS_REFERENCE,287a217b9f6a770af6309523a328e910c724e682bc01deecf289d0e24077fae8,,142,e8ae55f1f7884d3d554c4fde980e8cbc678cf2e47fea73c5406eb623fbdad8ed,active_4,kv_constrained_online,1144,0,,True,True,0.04604201768149799,0.029145068168640265,True,58,0.1251706295967102,False,142,e8ae55f1f7884d3d554c4fde980e8cbc678cf2e47fea73c5406eb623fbdad8ed,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1144,0,VALID,11,shard_073_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1243::sbs_reference,SBS_REFERENCE,5c69f39cd6ed9b983de68f856f302a1e87b80d4e1453f1ab363a0c295da46579,,135,b7461994081bf28913dcf43fb479222f11a3caccb5d8022c9fcc6f9b038c6b0e,active_4,kv_constrained_online,1243,0,,True,True,0.046371334909509794,0.028958026885986587,True,65,0.1324115604400635,False,135,b7461994081bf28913dcf43fb479222f11a3caccb5d8022c9fcc6f9b038c6b0e,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1243,0,VALID,11,shard_041_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1344::sbs_reference,SBS_REFERENCE,bef0ac86090aa80baaad1af3683a2da319ca7dc1c672d5fddd10c91a542c08ec,,129,763f1a247556cc2af968f4e0b3d6bf7bafa3b1a91fb012369e5f6ab60e3175c6,active_4,kv_constrained_online,1344,0,,True,True,0.04644129036008856,0.029641979217529313,True,71,0.12056254081726074,False,129,763f1a247556cc2af968f4e0b3d6bf7bafa3b1a91fb012369e5f6ab60e3175c6,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1344,0,VALID,11,shard_070_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1446::sbs_reference,SBS_REFERENCE,98fe8068a7a56b7842a929a12c5b6411494b44314314b3ebc8e4943124d37ecc,,122,faa24426e1663288309e0a91585fc7f1f38bb4d4d6afb4b3b4f15b2847bda0dd,active_4,kv_constrained_online,1446,0,,True,True,0.047434583460698426,0.029883467674255426,True,78,0.1251706295967102,False,122,faa24426e1663288309e0a91585fc7f1f38bb4d4d6afb4b3b4f15b2847bda0dd,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1446,0,VALID,11,shard_011_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1455::sbs_reference,SBS_REFERENCE,c2cc8101924352a22d2f65d37d465c41c64fbd94dbd69d132a6127bae7b393ba,,121,8eaca7186e8257fd78118eb91fed0883ffc6d1c5156472c76cb1162001c322e2,active_4,kv_constrained_online,1455,0,,True,True,0.04768197671243973,0.03011892127990734,True,79,0.12582892799377454,False,121,8eaca7186e8257fd78118eb91fed0883ffc6d1c5156472c76cb1162001c322e2,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1455,0,VALID,11,shard_031_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1456::sbs_reference,SBS_REFERENCE,732eebb0b9bc4259c8adbe4f77ce55bbf55a1b76e31b2dc7af90b71b52c8031b,,120,c8fc10a2e11a3b3a92a275d2d3fa00cc3f74caa725b534bc0cdaaaf390be2d7b,active_4,kv_constrained_online,1456,0,,True,True,0.047935493310292634,0.030506527900695857,True,80,0.1269260334014893,False,120,c8fc10a2e11a3b3a92a275d2d3fa00cc3f74caa725b534bc0cdaaaf390be2d7b,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1456,0,VALID,11,shard_024_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1912::sbs_reference,SBS_REFERENCE,92dd0c56aedc50c33a560dc192c471052bbadeb37593c12d40bbfb77ebe874a0,,93,d55a1f78b52368ff01d3185fa5d84fe0c858e3f1f1d23f414fb234f826288a03,active_4,kv_constrained_online,1912,0,,True,True,0.05212589110097586,0.03172593688964831,True,107,0.13460577125549306,False,93,d55a1f78b52368ff01d3185fa5d84fe0c858e3f1f1d23f414fb234f826288a03,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1912,0,VALID,11,shard_088_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1919::sbs_reference,SBS_REFERENCE,f170ea774a67650ee8daadb34346399569cb6c63e931634ccd0219842293ce15,,92,1ccf6fc20e36b46a8d0d7adcd4367bc47879eb32f3abe5c4e72d3f30b0d45c63,active_4,kv_constrained_online,1919,0,,True,True,0.052409519693125926,0.031942966461181665,True,108,0.13570287666320816,False,92,1ccf6fc20e36b46a8d0d7adcd4367bc47879eb32f3abe5c4e72d3f30b0d45c63,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1919,0,VALID,11,shard_027_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1942::sbs_reference,SBS_REFERENCE,53ed031c91677fbe6fe311e24b9cb92119643631abd076c0f59a2fbdb79db25a,,90,ad20958aa56fdad45e9c53bd8fa3de2c7ab95138cf6c6d7312bb1be99a8fee95,active_4,kv_constrained_online,1942,0,,True,True,0.05271369872623028,0.03158397865295415,True,110,0.1378970874786377,False,90,ad20958aa56fdad45e9c53bd8fa3de2c7ab95138cf6c6d7312bb1be99a8fee95,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1942,0,VALID,11,shard_026_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1952::sbs_reference,SBS_REFERENCE,90b167c52532504af9bacd9c3cff90bb61323cd58e5a5b1e5fe19f45b66da822,,89,3141f47ac03cf863910f3e60e468032e341fd76ca53b48d450e2f57aef1f4ea5,active_4,kv_constrained_online,1952,0,,True,True,0.0530947635950668,0.03172593688964831,True,111,0.13899419288635248,False,89,3141f47ac03cf863910f3e60e468032e341fd76ca53b48d450e2f57aef1f4ea5,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1952,0,VALID,11,shard_019_of_096.csv
