scenario_id,fold,states,scenario_gain,mean_state_gain,overrides,beneficial_overrides,harmful_overrides,oracle_gain
joint_mm_0064,1,32,-0.7738240777945211,-0.0241820024310787,19,0,14,0.0673940159731047
joint_mm_0075,2,86,-0.4061352954010995,-0.0047225034348965,37,0,30,0.020741655828312
joint_mm_0111,2,46,-0.3980376524075603,-0.0086529924436426,32,0,15,0.0468279591067718
joint_mm_0003,1,46,-0.392655314632266,-0.0085359851007014,44,9,13,0.1812024223578515
joint_mm_0194,3,39,-0.2652478370270543,-0.0068012265904372,24,5,13,0.0820572792670532
joint_mm_0019,1,57,-0.2616512597378105,-0.0045903729778563,22,0,5,0.0396309083891888
joint_mm_0099,1,50,-0.2579550730237546,-0.005159101460475,29,0,13,0.0
joint_mm_0151,1,44,-0.20927155582015,-0.0047561717231852,44,3,15,0.033847917565935
joint_mm_0061,2,42,-0.1994381042351759,-0.0047485262913137,13,2,5,0.1551464319453332
joint_mm_0136,3,49,-0.1836396534110637,-0.0037477480287972,11,1,6,0.2873205624564854
joint_mm_0206,0,40,-0.1708577228592234,-0.0042714430714805,31,1,22,0.1457101656551408
joint_mm_0123,2,41,-0.151558977097335,-0.0036965604170081,31,0,17,0.1449045306512983
joint_mm_0150,3,37,-0.1433483213176675,-0.0038742789545315,23,4,7,0.08442186979054
joint_mm_0156,0,46,-0.1373655483440684,-0.0029862075726971,9,0,6,0.2694486510819376
joint_mm_0108,2,45,-0.1299661386756121,-0.0028881364150136,27,5,8,0.1691913733120189
joint_mm_0217,2,49,-0.1263551570348709,-0.002578676674181,27,1,12,0.0039685563995857
joint_mm_0223,4,49,-0.1214062991294443,-0.0024776795740702,15,0,6,0.0741430464040019
joint_mm_0124,4,49,-0.1142301645586466,-0.0023312278481356,14,0,2,0.05260269917846
joint_mm_0228,1,29,-0.1012781904294173,-0.0034923513941178,28,6,9,0.1638481301436596
joint_mm_0047,1,14,-0.0973633302931304,-0.0069545235923664,13,0,8,4.440892098500625e-16
joint_mm_0122,1,46,-0.0938890090613904,-0.002041065414378,37,0,11,0.0
joint_mm_0238,0,48,-0.0917818633288071,-0.0019121221526834,40,5,11,0.1376727949932108
joint_mm_0216,2,70,-0.0914641168881506,-0.0013066302412592,34,6,16,0.1267830443267213
joint_mm_0164,2,48,-0.0749321289025735,-0.0015610860188036,10,4,5,0.1541925137600005
joint_mm_0081,1,43,-0.0694174196217854,-0.0016143585958554,37,9,11,0.4689815856463011
joint_mm_0176,3,36,-0.0630210854344804,-0.0017505857065133,13,2,5,0.0315105427172401
joint_mm_0006,1,43,-0.0587963632423832,-0.0013673572847065,15,0,4,0.344868587270348
joint_mm_0180,4,20,-0.0582724942014108,-0.0029136247100705,4,0,4,0.0
joint_mm_0202,4,45,-0.05589538339327,-0.0012421196309615,8,1,3,0.2012872055289863
joint_mm_0187,3,11,-0.0543925419145859,-0.0049447765376896,10,0,2,0.0
joint_mm_0088,4,51,-0.0491110129401302,-0.0009629610380417,18,0,1,0.0932350478482516
joint_mm_0235,4,24,-0.0483379082622307,-0.0020140795109262,8,0,2,0.0322252721748204
joint_mm_0178,4,25,-0.0462412919366114,-0.0018496516774644,10,4,5,0.5293692119397188
joint_mm_0042,2,27,-0.0451601564798328,-0.0016725983881419,3,0,2,0.0
joint_mm_0171,1,21,-0.0437678122440117,-0.0020841815354291,15,0,3,0.0
joint_mm_0195,1,25,-0.0412489903085782,-0.0016499596123431,12,0,2,0.0
joint_mm_0051,2,27,-0.0400738656088248,-0.0014842172447712,14,1,5,0.1641325674294058
joint_mm_0198,4,46,-0.0397085406299344,-0.000863229144129,12,0,1,1.1169228853653037
joint_mm_0024,2,41,-0.0384748450838033,-0.0009384108557025,9,1,2,0.9131266051334636
joint_mm_0015,2,45,-0.0324118536585414,-0.0007202634146342,4,0,2,0.1446614756097393
joint_mm_0090,2,19,-0.0311888675961815,-0.0016415193471674,19,0,1,0.0
joint_mm_0188,3,43,-0.0306885109982627,-0.0007136863022851,10,2,3,0.2550271454907758
joint_mm_0121,2,42,-0.0280640865177078,-0.0006681925361359,13,2,9,0.0594871251490159
joint_mm_0233,4,61,-0.0240089501877188,-0.0003935893473396,20,0,2,0.0960358007508753
joint_mm_0128,4,36,-0.023310913300435,-0.0006475253694565,15,0,2,0.268059594376394
joint_mm_0227,3,42,-0.0222843320307251,-0.0005305793340648,14,4,7,0.1350011678837685
joint_mm_0005,3,43,-0.0194726045824514,-0.0004528512693593,4,0,1,0.0
joint_mm_0001,1,40,-0.0193638540869598,-0.0004840963521739,25,0,3,0.0308496603780694
joint_mm_0046,4,35,-0.017212552413945,-0.000491787211827,24,2,5,0.0286875873565751
joint_mm_0203,3,52,-0.0153848794888558,-0.0002958630670933,2,1,1,0.0059551603380147
joint_mm_0146,1,50,-0.0138306027348074,-0.0002766120546961,10,0,1,0.2477688064989078
joint_mm_0142,2,36,-0.0131581116468919,-0.0003655031013025,20,0,1,0.0526324465875676
joint_mm_0218,4,51,-0.0100576794572514,-0.0001972094011225,43,13,9,0.318575606860999
joint_mm_0182,3,56,-0.0090175785039475,-0.0001610281875704,2,1,1,0.1339496145749042
joint_mm_0117,1,29,-0.0059575504282468,-0.0002054327733878,12,0,1,0.200767707189174
joint_mm_0040,4,60,-5.551115123125782e-16,-9.251858538542969e-18,13,0,5,0.6085416717383895
joint_mm_0039,1,47,-1.9428902930940242e-16,-4.1338091342426055e-18,37,0,7,0.0080828173307567
joint_mm_0060,1,37,0.0,0.0,15,0,0,0.0249501629287588
joint_mm_0059,3,38,0.0,0.0,15,0,0,0.0
joint_mm_0062,2,19,0.0,0.0,13,0,0,0.0
joint_mm_0030,4,13,0.0,0.0,9,0,0,0.0
joint_mm_0032,0,28,0.0,0.0,0,0,0,0.2458361175632713
joint_mm_0027,1,50,0.0,0.0,44,0,0,0.0105003054906094
joint_mm_0007,0,60,0.0,0.0,6,0,0,0.3373795448640891
joint_mm_0129,0,52,0.0,0.0,3,0,0,0.0
joint_mm_0131,0,51,0.0,0.0,9,0,0,0.0214997821100292
joint_mm_0120,2,37,0.0,0.0,2,0,0,0.0908050182802294
joint_mm_0104,0,19,0.0,0.0,19,0,0,0.0
joint_mm_0113,0,38,0.0,0.0,1,0,0,0.012078473486546
joint_mm_0110,2,26,0.0,0.0,15,0,0,0.0
joint_mm_0105,0,64,0.0,0.0,0,0,0,0.0107992352204733
joint_mm_0115,3,19,0.0,0.0,1,0,0,0.1004634891861147
joint_mm_0103,4,31,0.0,0.0,15,0,0,0.0309301097395042
joint_mm_0074,0,4,0.0,0.0,4,0,0,0.0
joint_mm_0078,1,39,0.0,0.0,23,0,0,0.0
joint_mm_0076,0,32,0.0,0.0,0,0,0,0.0
joint_mm_0080,4,18,0.0,0.0,4,0,0,0.0303004634167259
joint_mm_0072,2,18,0.0,0.0,3,0,0,0.2480229449865987
joint_mm_0069,0,51,0.0,0.0,1,0,0,0.2931652264218038
joint_mm_0070,0,24,0.0,0.0,0,0,0,0.3351799495564897
joint_mm_0082,2,35,0.0,0.0,7,0,0,0.0
joint_mm_0085,1,13,0.0,0.0,10,0,0,0.0
joint_mm_0093,0,31,0.0,0.0,0,0,0,0.0557021723374984
joint_mm_0083,3,33,0.0,0.0,9,0,0,0.0
joint_mm_0089,0,33,0.0,0.0,0,0,0,0.2148081688325305
joint_mm_0114,1,24,0.0,0.0,7,0,0,0.0
joint_mm_0119,0,20,0.0,0.0,0,0,0,0.020831415542442
joint_mm_0196,2,29,0.0,0.0,9,0,0,0.0
joint_mm_0201,0,31,0.0,0.0,20,0,0,0.0
joint_mm_0183,2,5,0.0,0.0,1,0,0,1.1102230246251563e-16
joint_mm_0172,2,18,0.0,0.0,2,0,0,0.2237371621246961
joint_mm_0173,3,27,0.0,0.0,12,0,0,0.0105759866169838
joint_mm_0179,0,57,0.0,0.0,5,0,0,0.1228798661063181
joint_mm_0184,2,34,0.0,0.0,11,0,0,0.0
joint_mm_0189,3,53,0.0,0.0,3,0,0,0.3311078510020637
joint_mm_0190,4,30,0.0,0.0,2,0,0,0.0
joint_mm_0166,0,27,0.0,0.0,14,0,0,0.0
joint_mm_0168,3,43,0.0,0.0,2,0,0,0.0129091409289687
joint_mm_0165,0,42,0.0,0.0,0,0,0,0.3242617242426144
joint_mm_0058,0,27,0.0,0.0,25,0,0,0.0
joint_mm_0053,0,30,0.0,0.0,0,0,0,0.0547178554795568
joint_mm_0054,0,51,0.0,0.0,1,0,0,0.3193290900962588
joint_mm_0033,3,16,0.0,0.0,11,0,0,4.440892098500626e-16
joint_mm_0036,0,32,0.0,0.0,7,0,0,0.0
joint_mm_0045,1,34,0.0,0.0,29,0,0,0.0245568230794803
joint_mm_0044,3,17,0.0,0.0,6,0,0,0.0284467197377102
joint_mm_0056,0,47,0.0,0.0,3,0,0,0.1886342608432546
joint_mm_0057,0,46,0.0,0.0,21,0,0,0.0
joint_mm_0050,3,59,0.0,0.0,0,0,0,0.1655515646481747
joint_mm_0043,4,52,0.0,0.0,41,0,0,0.0066703133662509
joint_mm_0097,4,8,0.0,0.0,1,0,0,1.1102230246251563e-15
joint_mm_0094,4,51,0.0,0.0,16,0,0,0.0
joint_mm_0068,3,25,0.0,0.0,1,0,0,0.1159504354149282
joint_mm_0066,2,28,0.0,0.0,9,0,0,0.0
joint_mm_0071,2,36,0.0,0.0,0,0,0,0.1107720879431853
joint_mm_0028,1,20,0.0,0.0,4,0,0,0.0174392886169317
