conditioning,level,n,A_hgb,A_scen,SBS,VBS,gain_hgb_vs_sbs,accuracy_hgb,accuracy_scen,catastrophic_hgb
n_elevated,1,17,0.5071446233132726,0.5016926758521721,0.517536105939814,0.5360839832308224,-0.010391482626541437,0.23529411764705882,0.23529411764705882,6
n_elevated,2,48,0.373366868598941,0.36890534539490466,0.3699717121994374,0.39828265911898125,0.003395156399503607,0.3541666666666667,0.2916666666666667,6
n_elevated,3,90,0.28983246334306934,0.278369622986491,0.2893129660207865,0.30793786841799353,0.000519497322282847,0.25555555555555554,0.28888888888888886,10
n_elevated,4,64,0.2807152064278466,0.2785230839125345,0.28006360375303574,0.29468916935963096,0.0006516026748108472,0.203125,0.3125,11
n_elevated,5,20,0.24479746216655962,0.21560984845809159,0.24291035524444654,0.2569905274888765,0.0018871069221130798,0.3,0.3,1
n_elevated,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
vbs_winner,chunked_prefill_small,5,0.4057373109450085,0.4149710019544116,0.4038020740025708,0.4281744952305392,0.0019352369424376903,0.0,0.2,0
vbs_winner,estimated_service_time_first,45,0.4091547962086428,0.40190374389921785,0.40250609346100247,0.42764708887586506,0.006648702747640345,0.2,0.24444444444444444,1
vbs_winner,full_prefill,46,0.20971391006557044,0.2076554462982762,0.21010779779997477,0.21312843571648027,-0.00039388773440432456,0.043478260869565216,0.5434782608695652,3
vbs_winner,kv_constrained_online,50,0.3565299201079034,0.3215464984798517,0.37331280481233414,0.37331280481233414,-0.016782884704430734,0.54,0.2,20
vbs_winner,least_laxity_first,59,0.2090791183149909,0.205338055703909,0.1979771184299586,0.2318957865238292,0.011101999885032299,0.3898305084745763,0.2711864406779661,6
vbs_winner,weighted_fair_share,35,0.43543017747298773,0.443492235751708,0.43526191917036483,0.46882656385717336,0.00016825830262290342,0.05714285714285714,0.22857142857142856,4
vbs_gain_tertile,all,240,0.31454046851943507,0.3059465519866274,0.3140716694729327,0.33310550374603504,0.00046879904650237725,0.2625,0.29583333333333334,34
