scenario_id,policy_id,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,max_decode_tokens_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturated_steps,budget_saturation_fraction,n_steps,max_waiting_queue,mean_waiting_queue
joint_mm_0000,full_prefill,0,0,0,0,8,9,25,0.04118616144975288,607,3,0.06919275123558484
joint_mm_0000,chunked_prefill_small,0,0,0,0,4,4,10,0.016366612111292964,611,3,0.06873977086743044
joint_mm_0000,estimated_service_time_first,0,0,0,0,8,9,25,0.04118616144975288,607,3,0.06919275123558484
joint_mm_0000,weighted_fair_share,0,0,0,0,8,9,25,0.04118616144975288,607,3,0.06919275123558484
joint_mm_0000,least_laxity_first,0,0,0,0,8,9,25,0.04118616144975288,607,3,0.06919275123558484
joint_mm_0000,kv_constrained_online,0,0,0,0,8,9,25,0.04118616144975288,607,3,0.06919275123558484
joint_mm_0001,full_prefill,0,0,0,0,5,6,22,0.041044776119402986,536,33,7.871268656716418
joint_mm_0001,chunked_prefill_small,0,0,0,0,0,0,0,0.0,554,34,8.144404332129964
joint_mm_0001,estimated_service_time_first,11,63,11,13,5,6,22,0.04066543438077634,541,33,6.238447319778189
joint_mm_0001,weighted_fair_share,10,60,10,13,6,7,21,0.04030710172744722,521,33,6.593090211132438
joint_mm_0001,least_laxity_first,5,12,5,4,5,6,20,0.047505938242280284,421,33,14.292161520190025
joint_mm_0001,kv_constrained_online,10,64,10,14,6,7,20,0.03787878787878788,528,33,7.285984848484849
joint_mm_0002,full_prefill,0,0,0,0,3,4,81,0.03108211818879509,2606,28,15.711435149654642
joint_mm_0002,chunked_prefill_small,0,0,0,0,0,0,0,0.0,2777,30,16.95138638818869
joint_mm_0002,estimated_service_time_first,58,128,58,3,1,1,77,0.02951322345726332,2609,26,12.425067075507858
joint_mm_0002,weighted_fair_share,61,129,61,3,5,6,77,0.028465804066543438,2705,28,12.4543438077634
joint_mm_0002,least_laxity_first,32,63,32,3,4,5,78,0.02968036529680365,2628,33,21.299847792998477
joint_mm_0002,kv_constrained_online,53,110,53,3,3,4,76,0.027737226277372264,2740,28,13.624452554744526
joint_mm_0003,full_prefill,0,0,0,0,20,28,227,0.0807541800071149,2811,28,9.437566702241195
joint_mm_0003,chunked_prefill_small,0,0,0,0,0,0,0,0.0,3016,28,10.385610079575597
joint_mm_0003,estimated_service_time_first,151,596,151,7,20,28,227,0.07755380936112061,2927,23,7.002733173898189
joint_mm_0003,weighted_fair_share,159,554,159,7,11,19,229,0.07912923289564616,2894,24,7.016240497581203
joint_mm_0003,least_laxity_first,74,263,74,7,36,44,227,0.08165467625899281,2780,32,12.758992805755396
joint_mm_0003,kv_constrained_online,153,612,153,7,19,27,227,0.08001409940077547,2837,24,7.161438138879098
joint_mm_0004,full_prefill,0,0,0,0,20,31,456,0.09236378367429614,4937,27,13.687867125784889
joint_mm_0004,chunked_prefill_small,0,0,0,0,0,0,9,0.0016936394429808055,5314,27,13.802785095972903
joint_mm_0004,estimated_service_time_first,331,680,331,3,48,59,455,0.08937340404635631,5091,27,13.11451581221764
joint_mm_0004,weighted_fair_share,313,632,313,3,48,59,455,0.08635414689694439,5269,27,12.782691212753843
joint_mm_0004,least_laxity_first,246,487,246,3,62,73,456,0.08997632202052092,5068,29,15.453038674033149
joint_mm_0004,kv_constrained_online,358,620,358,3,34,45,455,0.0857843137254902,5304,28,12.998491704374057
joint_mm_0005,full_prefill,0,0,0,0,110,239,422,0.2119537920642893,1991,25,6.585133098945254
joint_mm_0005,chunked_prefill_small,0,0,0,0,37,66,60,0.029411764705882353,2040,26,7.180392156862745
joint_mm_0005,estimated_service_time_first,248,2074,248,15,109,229,418,0.20096153846153847,2080,26,6.790865384615385
joint_mm_0005,weighted_fair_share,242,1990,242,15,119,241,416,0.19126436781609196,2175,26,6.607816091954023
joint_mm_0005,least_laxity_first,135,505,135,15,190,382,421,0.22417465388711394,1878,27,8.943024494142705
joint_mm_0005,kv_constrained_online,251,2104,251,15,82,202,413,0.19182535996284256,2153,26,6.872735717603344
joint_mm_0006,full_prefill,0,0,0,0,0,0,7,0.0018055197317513542,3877,21,8.67939128191901
joint_mm_0006,chunked_prefill_small,0,0,0,0,0,0,0,0.0,3988,22,9.011033099297894
joint_mm_0006,estimated_service_time_first,0,0,0,0,0,0,0,0.0,3771,17,5.990718642269955
joint_mm_0006,weighted_fair_share,0,0,0,0,0,0,0,0.0,3900,16,5.756923076923077
joint_mm_0006,least_laxity_first,0,0,0,0,0,0,0,0.0,3714,27,13.517770597738288
joint_mm_0006,kv_constrained_online,0,0,0,0,0,0,0,0.0,3735,18,7.265863453815261
joint_mm_0007,full_prefill,11,27,11,3,0,0,57,0.010337323177366704,5514,48,20.99691693870149
joint_mm_0007,chunked_prefill_small,0,0,0,0,0,0,0,0.0,5713,48,20.843514790827935
joint_mm_0007,estimated_service_time_first,31,62,31,3,8,8,58,0.010231081319456695,5669,40,15.498324219439054
joint_mm_0007,weighted_fair_share,36,53,36,3,0,0,57,0.009555741827326068,5965,40,14.672590108968986
joint_mm_0007,least_laxity_first,25,42,25,3,3,3,57,0.010577101503061792,5389,49,26.97550565967712
joint_mm_0007,kv_constrained_online,33,56,33,3,4,4,57,0.009570181329751511,5956,40,15.85594358629953
joint_mm_0008,full_prefill,0,0,0,0,8,9,167,0.0593672236046925,2813,50,21.714539637397795
joint_mm_0008,chunked_prefill_small,0,0,0,0,0,0,0,0.0,2989,50,21.815657410505185
joint_mm_0008,estimated_service_time_first,125,456,125,7,16,17,167,0.057250599931436406,2917,49,16.8361330133699
joint_mm_0008,weighted_fair_share,124,479,124,7,25,26,166,0.05585464333781965,2972,49,16.679340511440106
joint_mm_0008,least_laxity_first,119,382,119,7,17,18,169,0.06074766355140187,2782,51,27.097771387491015
joint_mm_0008,kv_constrained_online,120,458,120,7,22,23,166,0.054912338736354614,3023,49,17.01356268607344
joint_mm_0009,full_prefill,0,0,0,0,21,42,44,0.12087912087912088,364,20,3.4258241758241756
joint_mm_0009,chunked_prefill_small,0,0,0,0,0,0,4,0.010554089709762533,379,21,3.7757255936675462
joint_mm_0009,estimated_service_time_first,21,127,21,13,23,44,42,0.08936170212765958,470,19,2.1127659574468085
joint_mm_0009,weighted_fair_share,16,108,16,12,16,35,39,0.10743801652892562,363,19,2.8512396694214877
joint_mm_0009,least_laxity_first,7,15,7,6,18,38,41,0.11263736263736264,364,21,4.412087912087912
joint_mm_0009,kv_constrained_online,18,121,18,12,20,39,40,0.11019283746556474,363,19,2.9201101928374658
joint_mm_0010,full_prefill,0,0,0,0,15,15,222,0.09745390693590869,2278,36,16.615013169446883
