scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk10.phaseearly.tightloose.s20260913,least_laxity_first,low,early,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0641666666666667,897,1424,0
kvp2.bulk10.phaseearly.tightloose.s20260911,least_laxity_first,low,early,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0855,1063,1570,0
kvp2.bulk10.phaseearly.tightloose.s20260912,least_laxity_first,low,early,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0946666666666667,1579,1857,0
kvp2.bulk10.phaseearly.tightloose.s20260913,kv_constrained_online,low,early,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0213333333333334,472,1668,2013
kvp2.bulk10.phaseearly.tightloose.s20260910,kv_constrained_online,low,early,loose,20260910,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0211666666666666,1174,1874,1385
kvp2.bulk10.phaseearly.tightloose.s20260912,kv_constrained_online,low,early,loose,20260912,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0286666666666666,762,2145,2104
kvp2.bulk10.phaseearly.tightloose.s20260914,least_laxity_first,low,early,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0611666666666666,813,1248,0
kvp2.bulk10.phaseearly.tightloose.s20260911,kv_constrained_online,low,early,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,0.9748333333333333,589,1762,688
kvp2.bulk10.phaseearly.tightloose.s20260914,kv_constrained_online,low,early,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0393333333333334,468,1525,1004
kvp2.bulk10.phaseearly.tightloose.s20260910,least_laxity_first,low,early,loose,20260910,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0658333333333334,1536,1698,0
kvp2.bulk10.phaseearly.tighttight.s20260910,kv_constrained_online,low,early,tight,20260910,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0821666666666667,1332,1818,221
kvp2.bulk10.phaseearly.tightloose.s20260915,least_laxity_first,low,early,loose,20260915,True,success,0.85,0.85,1.0,10,0.7,10,1.0,1.1161666666666668,798,2467,0
kvp2.bulk10.phaseearly.tighttight.s20260911,least_laxity_first,low,early,tight,20260911,False,success,0.8,0.8,1.0,10,1.0,10,0.6,1.0855,1063,1570,0
kvp2.bulk10.phaseearly.tighttight.s20260910,least_laxity_first,low,early,tight,20260910,False,success,0.8,0.8,1.0,10,1.0,10,0.6,1.0658333333333334,1536,1698,0
kvp2.bulk10.phaseearly.tighttight.s20260911,kv_constrained_online,low,early,tight,20260911,False,success,0.9,0.9,1.0,10,0.9,10,0.9,1.0116666666666667,934,1737,29
kvp2.bulk10.phaseearly.tightloose.s20260915,kv_constrained_online,low,early,loose,20260915,True,success,0.9,0.9,1.0,10,0.8,10,1.0,1.0211666666666666,570,2455,3053
kvp2.bulk10.phaseearly.tighttight.s20260912,kv_constrained_online,low,early,tight,20260912,False,success,0.9,0.9,1.0,10,0.8,10,1.0,1.043,662,2312,489
kvp2.bulk10.phaseearly.tighttight.s20260914,least_laxity_first,low,early,tight,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0611666666666666,813,1248,0
kvp2.bulk10.phaseearly.tighttight.s20260913,least_laxity_first,low,early,tight,20260913,False,success,0.85,0.85,1.0,10,1.0,10,0.7,1.0641666666666667,897,1424,0
kvp2.bulk10.phaseearly.tighttight.s20260914,kv_constrained_online,low,early,tight,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0116666666666667,769,1276,103
kvp2.bulk10.phaseearly.tighttight.s20260913,kv_constrained_online,low,early,tight,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0188333333333333,789,1481,580
kvp2.bulk10.phaseearly.tighttight.s20260915,least_laxity_first,low,early,tight,20260915,True,success,0.7,0.7,1.0,10,0.7,10,0.7,1.1161666666666668,798,2467,0
kvp2.bulk10.phaseearly.tighttight.s20260915,kv_constrained_online,low,early,tight,20260915,True,success,0.9,0.9,1.0,10,0.8,10,1.0,1.035,863,2403,576
kvp2.bulk10.phaseearly.tighttight.s20260912,least_laxity_first,low,early,tight,20260912,False,success,0.9,0.9,1.0,10,1.0,10,0.8,1.0946666666666667,1579,1857,0
kvp2.bulk10.phasemiddle.tightloose.s20260911,least_laxity_first,low,middle,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.1005,1140,1543,0
kvp2.bulk10.phasemiddle.tightloose.s20260910,least_laxity_first,low,middle,loose,20260910,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0723333333333334,1325,1835,0
kvp2.bulk10.phasemiddle.tightloose.s20260911,kv_constrained_online,low,middle,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.049,554,1717,2002
kvp2.bulk10.phasemiddle.tightloose.s20260910,kv_constrained_online,low,middle,loose,20260910,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.1053333333333333,810,2031,3991
kvp2.bulk10.phasemiddle.tightloose.s20260914,least_laxity_first,low,middle,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0391666666666666,932,1251,0
kvp2.bulk10.phasemiddle.tightloose.s20260912,kv_constrained_online,low,middle,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0693333333333332,942,2030,3597
kvp2.bulk10.phasemiddle.tightloose.s20260914,kv_constrained_online,low,middle,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0613333333333332,441,1463,1509
kvp2.bulk10.phasemiddle.tightloose.s20260912,least_laxity_first,low,middle,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.076,1588,1804,0
