policy_i,policy_j,n,mean_delta_ij,median_delta_ij,mean_abs_delta,i_beats_regimes_eps_0.01,j_beats_regimes_eps_0.01,i_beats_j_eps_0.0,j_beats_i_eps_0.0,near_ties_eps_0.0,bidirectional_eps_0.0,practical_margin_i_gt_0.0,practical_margin_j_gt_0.0,i_beats_j_eps_0.001,j_beats_i_eps_0.001,near_ties_eps_0.001,bidirectional_eps_0.001,practical_margin_i_gt_0.001,practical_margin_j_gt_0.001,i_beats_j_eps_0.005,j_beats_i_eps_0.005,near_ties_eps_0.005,bidirectional_eps_0.005,practical_margin_i_gt_0.005,practical_margin_j_gt_0.005,i_beats_j_eps_0.01,j_beats_i_eps_0.01,near_ties_eps_0.01,bidirectional_eps_0.01,practical_margin_i_gt_0.01,practical_margin_j_gt_0.01
adaptive_prefill_control,chunked_prefill_large,144,-0.007085025192481332,0.0,0.01247126703705651,"{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}","{""decode_occupancy"": {""high"": 12, ""low"": 17, ""medium"": 16}, ""offered_load"": {""high"": 24, ""moderate"": 21}, ""prefill_size_class"": {""long"": 13, ""medium"": 13, ""mixed"": 9, ""short"": 10}, ""seed"": {""20260818"": 26, ""20260819"": 19}, ""slo_regime"": {""balanced"": 29, ""ttft_tight"": 16}}",12,51,81,True,12,51,12,51,81,True,12,51,12,51,81,True,12,51,11,45,88,True,11,45
adaptive_prefill_control,chunked_prefill_small,144,0.0,0.0,0.0,"{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}","{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}",0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0
adaptive_prefill_control,decode_priority_chunked,144,0.0,0.0,0.0,"{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}","{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}",0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0
adaptive_prefill_control,full_prefill,144,-0.007921078677657624,0.0,0.013335378883624497,"{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}","{""decode_occupancy"": {""high"": 13, ""low"": 18, ""medium"": 16}, ""offered_load"": {""high"": 26, ""moderate"": 21}, ""prefill_size_class"": {""long"": 14, ""medium"": 13, ""mixed"": 9, ""short"": 11}, ""seed"": {""20260818"": 27, ""20260819"": 20}, ""slo_regime"": {""balanced"": 30, ""ttft_tight"": 17}}",12,54,78,True,12,54,12,54,78,True,12,54,12,54,78,True,12,54,11,47,86,True,11,47
chunked_prefill_large,chunked_prefill_small,144,0.007085025192481332,0.0,0.01247126703705651,"{""decode_occupancy"": {""high"": 12, ""low"": 17, ""medium"": 16}, ""offered_load"": {""high"": 24, ""moderate"": 21}, ""prefill_size_class"": {""long"": 13, ""medium"": 13, ""mixed"": 9, ""short"": 10}, ""seed"": {""20260818"": 26, ""20260819"": 19}, ""slo_regime"": {""balanced"": 29, ""ttft_tight"": 16}}","{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}",51,12,81,True,51,12,51,12,81,True,51,12,51,12,81,True,51,12,45,11,88,True,45,11
chunked_prefill_large,decode_priority_chunked,144,0.007085025192481332,0.0,0.01247126703705651,"{""decode_occupancy"": {""high"": 12, ""low"": 17, ""medium"": 16}, ""offered_load"": {""high"": 24, ""moderate"": 21}, ""prefill_size_class"": {""long"": 13, ""medium"": 13, ""mixed"": 9, ""short"": 10}, ""seed"": {""20260818"": 26, ""20260819"": 19}, ""slo_regime"": {""balanced"": 29, ""ttft_tight"": 16}}","{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}",51,12,81,True,51,12,51,12,81,True,51,12,51,12,81,True,51,12,45,11,88,True,45,11
chunked_prefill_large,full_prefill,144,-0.0008360534851762917,0.0,0.0009903744728306121,"{""decode_occupancy"": {""medium"": 1}, ""offered_load"": {""high"": 1}, ""prefill_size_class"": {""mixed"": 1}, ""seed"": {""20260818"": 1}, ""slo_regime"": {""tbt_tight"": 1}}","{""decode_occupancy"": {""low"": 4, ""medium"": 2}, ""offered_load"": {""high"": 6}, ""prefill_size_class"": {""long"": 2, ""medium"": 3, ""short"": 1}, ""seed"": {""20260818"": 3, ""20260819"": 3}, ""slo_regime"": {""balanced"": 2, ""ttft_tight"": 4}}",1,11,132,True,1,11,1,11,132,True,1,11,1,11,132,True,1,11,1,6,137,True,1,6
chunked_prefill_small,decode_priority_chunked,144,0.0,0.0,0.0,"{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}","{""decode_occupancy"": {}, ""offered_load"": {}, ""prefill_size_class"": {}, ""seed"": {}, ""slo_regime"": {}}",0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0,0,0,144,False,0,0
chunked_prefill_small,full_prefill,144,-0.007921078677657624,0.0,0.013335378883624497,"{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}","{""decode_occupancy"": {""high"": 13, ""low"": 18, ""medium"": 16}, ""offered_load"": {""high"": 26, ""moderate"": 21}, ""prefill_size_class"": {""long"": 14, ""medium"": 13, ""mixed"": 9, ""short"": 11}, ""seed"": {""20260818"": 27, ""20260819"": 20}, ""slo_regime"": {""balanced"": 30, ""ttft_tight"": 17}}",12,54,78,True,12,54,12,54,78,True,12,54,12,54,78,True,12,54,11,47,86,True,11,47
decode_priority_chunked,full_prefill,144,-0.007921078677657624,0.0,0.013335378883624497,"{""decode_occupancy"": {""high"": 3, ""low"": 2, ""medium"": 6}, ""offered_load"": {""high"": 4, ""moderate"": 7}, ""prefill_size_class"": {""long"": 5, ""mixed"": 6}, ""seed"": {""20260818"": 8, ""20260819"": 3}, ""slo_regime"": {""tbt_tight"": 6, ""ttft_tight"": 5}}","{""decode_occupancy"": {""high"": 13, ""low"": 18, ""medium"": 16}, ""offered_load"": {""high"": 26, ""moderate"": 21}, ""prefill_size_class"": {""long"": 14, ""medium"": 13, ""mixed"": 9, ""short"": 11}, ""seed"": {""20260818"": 27, ""20260819"": 20}, ""slo_regime"": {""balanced"": 30, ""ttft_tight"": 17}}",12,54,78,True,12,54,12,54,78,True,12,54,12,54,78,True,12,54,11,47,86,True,11,47
