prompt_bucket,max_tokens,concurrency_level,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,128,1,3,3,0,0,3,1.0264,0.9873,1.14651,1.1606619999999999,0.23023333333333332,0.2289,0.2343,0.23478
long,128,2,3,3,0,0,3,0.9476,0.953,1.05002,1.058644,0.2144,0.2092,0.23062000000000002,0.232524
long,128,4,3,3,0,0,3,1.0452000000000001,1.0643,1.07483,1.075766,0.2928,0.3211,0.33199,0.332958
long,128,8,3,3,0,0,3,0.894,0.8408,0.9939799999999999,1.007596,0.25703333333333334,0.2753,0.29276,0.294312
long,256,1,3,3,0,0,3,1.7587333333333335,1.7232,1.9967099999999998,2.021022,0.20856666666666665,0.2027,0.22286,0.224652
long,256,2,3,3,0,0,3,1.9633666666666667,1.9826,2.07485,2.08305,0.25823333333333337,0.2631,0.26481,0.26496200000000003
long,256,4,3,3,0,0,3,1.7850000000000001,1.7825,1.8464,1.85208,0.2909,0.2951,0.30608,0.307056
long,256,8,3,3,0,0,3,1.809,1.74,2.08893,2.119946,0.22856666666666667,0.2122,0.27033999999999997,0.275508
long,512,1,3,3,0,0,3,2.9429000000000003,2.97,3.0177,3.0219400000000003,0.24456666666666668,0.2111,0.30362,0.311844
long,512,2,3,3,0,0,3,2.875966666666667,2.7999,3.11985,3.1482900000000003,0.2617,0.2636,0.32291000000000003,0.32818200000000003
long,512,4,3,3,0,0,3,2.9997333333333334,2.8222,3.52555,3.58807,0.2386,0.2234,0.28037,0.285434
long,512,8,3,3,0,0,3,3.1459666666666664,3.0557,3.3708799999999997,3.3988959999999997,0.20643333333333333,0.2076,0.21336,0.213872
medium,128,1,3,3,0,0,3,0.8338333333333333,0.7861,0.91768,0.929376,0.24196666666666666,0.254,0.2909,0.29418
medium,128,2,3,3,0,0,3,0.7880666666666666,0.7703,0.84383,0.850366,0.2424666666666667,0.2309,0.26375000000000004,0.26667
medium,128,4,3,3,0,0,3,0.8991000000000001,0.9321,0.95145,0.95317,0.23046666666666668,0.2421,0.25794,0.25934799999999997
medium,128,8,3,3,0,0,3,0.9149666666666666,0.9119,0.96158,0.965996,0.2859,0.3036,0.37317,0.379354
medium,256,1,3,3,0,0,3,1.5606,1.6624,1.7039799999999998,1.707676,0.20966666666666667,0.2323,0.23509,0.235338
medium,256,2,3,3,0,0,3,1.8781666666666668,1.8401,2.06753,2.087746,0.2785666666666667,0.3142,0.31734999999999997,0.31762999999999997
medium,256,4,3,3,0,0,3,1.9841666666666669,1.9522,2.0479600000000002,2.0564720000000003,0.24380000000000002,0.2492,0.24965,0.24969
medium,256,8,3,3,0,0,3,1.9196,1.9497,1.98408,1.987136,0.20866666666666667,0.2042,0.23435,0.23703
medium,512,1,3,3,0,0,3,3.896333333333333,3.8398,4.05391,4.072942,0.22506666666666666,0.2007,0.27162000000000003,0.277924
medium,512,2,3,3,0,0,3,3.7471666666666668,3.7473,4.12953,4.163506,0.18826666666666667,0.1859,0.19913,0.200306
medium,512,4,3,3,0,0,3,2.8839666666666672,2.3871,3.8083799999999997,3.934716,0.27673333333333333,0.2752,0.28897,0.29019399999999995
medium,512,8,3,3,0,0,3,3.1141,3.4579,3.8287,3.8616599999999996,0.3274333333333333,0.3268,0.33679,0.337678
short,128,1,3,3,0,0,3,0.8780333333333333,0.9272,0.93449,0.935138,0.22326666666666664,0.2166,0.24261,0.244922
short,128,2,3,3,0,0,3,0.7741333333333333,0.7627,0.84721,0.854722,0.21506666666666666,0.2253,0.23826,0.23941199999999999
short,128,4,3,3,0,0,3,0.8773,0.9547,0.9556899999999999,0.955778,0.22746666666666668,0.2404,0.25327,0.254414
short,128,8,3,3,0,0,3,0.8290333333333333,0.8087,0.86747,0.872694,0.18953333333333333,0.196,0.19690000000000002,0.19698000000000002
short,256,1,3,3,0,0,3,1.7844333333333333,1.9119,1.93098,1.932676,0.20023333333333335,0.2046,0.21539999999999998,0.21636
short,256,2,3,3,0,0,3,2.0959,2.1625,2.17213,2.172986,0.31329999999999997,0.3725,0.37889,0.379458
short,256,4,3,3,0,0,3,1.8037333333333334,1.8975,1.90443,1.905046,0.2514,0.25,0.25396,0.25431200000000004
short,256,8,3,3,0,0,3,1.7742666666666667,1.8656,1.94723,1.954486,0.2768333333333333,0.2925,0.30078000000000005,0.301516
short,512,1,3,3,0,0,3,2.9653666666666667,3.0276,3.1077,3.11482,0.2174,0.2104,0.26242,0.267044
short,512,2,3,3,0,0,3,2.920066666666667,2.9009,3.01628,3.026536,0.2383666666666667,0.231,0.25314,0.255108
short,512,4,3,3,0,0,3,2.6205666666666665,2.5234,3.0057099999999997,3.0485819999999997,0.2992666666666666,0.294,0.31596,0.31791200000000003
short,512,8,3,3,0,0,3,2.8693000000000004,3.4477,3.74308,3.769336,0.3201333333333333,0.387,0.38771999999999995,0.38778399999999996
