policy,target_output_tokens,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,64,12,12,0,0.6918321048433427,0.015386011252606599
edf,128,12,12,0,1.0713986517463734,0.016025157742357504
estimated_service_time_first,64,12,12,0,0.6940705303277355,0.015863093746399198
estimated_service_time_first,128,12,12,0,1.1655339748297895,0.016620950589034084
fifo,64,12,12,0,0.693792254072226,0.01609317174976847
fifo,128,12,12,0,1.1804706369002815,0.015762019917019643
least_laxity_first,64,12,12,0,0.6904527215034856,0.016084441337928485
least_laxity_first,128,12,12,0,1.0677932903393714,0.016063851508079097
shortest_output_first,64,12,12,0,0.6913590950134676,0.015860010171309114
shortest_output_first,128,12,12,0,1.167349067662144,0.016175462088237207
vllm_direct,64,12,12,0,0.6880284209085706,0.01591337941742192
vllm_direct,128,12,12,0,1.342567986410965,0.01612926925008651
