policy,prompt_bucket,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,medium,12,12,0,1.0386880273387458,0.017047580923341837
edf,short,12,12,0,0.7779239746644938,0.01449236917445281
estimated_service_time_first,medium,12,12,0,1.0189395779258728,0.016053973173256963
estimated_service_time_first,short,12,12,0,0.805675343668554,0.014822336922710141
fifo,medium,12,12,0,1.0464937338304783,0.01698030542077807
fifo,short,12,12,0,0.9395330957583307,0.015569252330654612
least_laxity_first,medium,12,12,0,1.0166820160860273,0.016109281171035644
least_laxity_first,short,12,12,0,0.8139663056499558,0.015527911736474683
selector,medium,12,12,0,1.012596371161635,0.016588073000699904
selector,short,12,12,0,0.8223021326654513,0.014885924164749062
shortest_output_first,medium,12,12,0,1.0460305882588727,0.01698912217883238
shortest_output_first,short,12,12,0,0.7239820440833379,0.01583511967328377
vllm_direct,medium,12,12,0,1.0404813379233626,0.017152461669563007
vllm_direct,short,12,12,0,0.722940535080852,0.015547277173027396
