policy,regime,n_total,n_completed,n_failed,completion_fraction,ttft_stats,server_latency_stats,total_wall_time_stats,mean_output_tokens,conditional_weighted_goodput,arrival_normalized_weighted_goodput,slo_violation_rate_among_completed,request_throughput_per_sec,output_token_throughput_per_sec,policy_wall_clock_seconds
edf,bursty_tight,180,180,0,1.0,"{'count': 180, 'mean': 0.018357895675580948, 'p50': 0.01705280301393941, 'p95': 0.025782513350713947, 'p99': 0.02934554161212873}","{'count': 180, 'mean': 1.4481084240872102, 'p50': 1.3075240534963086, 'p95': 2.777044103798107, 'p99': 2.7899203331477476}","{'count': 180, 'mean': 2.50879, 'p50': 1.6509, 'p95': 7.8275299999999985, 'p99': 11.02150400000002}",272.73333333333335,0.1774193548387097,0.1774193548387097,0.75,0.38970125613331086,106.28452258942498,461.89227560104337
edf,overloaded_mixed_priority,180,180,0,1.0,"{'count': 180, 'mean': 0.01814169381298901, 'p50': 0.017268764990149066, 'p95': 0.025183933167136272, 'p99': 0.028571815948234876}","{'count': 180, 'mean': 1.4751972556748014, 'p50': 1.3151776144804899, 'p95': 2.7929843813180923, 'p99': 2.8191722860228037}","{'count': 180, 'mean': 2.560481666666667, 'p50': 1.9717, 'p95': 6.941479999999984, 'p99': 11.00439400000002}",277.22222222222223,0.09829059829059829,0.09829059829059829,0.7944444444444444,0.38970125613331086,108.03384822806784,461.89227560104337
edf,steady_moderate,180,180,0,1.0,"{'count': 180, 'mean': 0.01969699073362992, 'p50': 0.01837734747095965, 'p95': 0.03480355238134507, 'p99': 0.03756443188060075}","{'count': 180, 'mean': 1.4267767660112844, 'p50': 1.3063654105062596, 'p95': 2.763817002007272, 'p99': 2.77836119736894}","{'count': 180, 'mean': 2.6130122222222223, 'p50': 1.8131, 'p95': 6.483189999999992, 'p99': 10.755298000000014}",270.7111111111111,0.47865853658536583,0.47865853658536583,0.4,0.38970125613331086,105.49646004924428,461.89227560104337
estimated_service_time_first,bursty_tight,180,180,0,1.0,"{'count': 180, 'mean': 0.019094605160838305, 'p50': 0.017702450015349314, 'p95': 0.02789754575642291, 'p99': 0.03155086398415733}","{'count': 180, 'mean': 1.5258809865691647, 'p50': 1.3534942405240145, 'p95': 2.9524006885534617, 'p99': 3.0432176402403273}","{'count': 180, 'mean': 2.6454405555555556, 'p50': 1.9763, 'p95': 8.069744999999994, 'p99': 11.779950000000017}",276.93888888888887,0.1639784946236559,0.1639784946236559,0.7666666666666667,0.3826935684177966,105.98273162254857,470.35020929196617
estimated_service_time_first,overloaded_mixed_priority,180,180,0,1.0,"{'count': 180, 'mean': 0.018402805750762734, 'p50': 0.016786045976914465, 'p95': 0.026529987371759486, 'p99': 0.027592146305250947}","{'count': 180, 'mean': 1.45797104534609, 'p50': 1.308332076499937, 'p95': 2.809506256549503, 'p99': 2.8223719324771084}","{'count': 180, 'mean': 2.5211522222222222, 'p50': 1.9761000000000002, 'p95': 6.963804999999984, 'p99': 11.04877700000002}",273.05,0.10042735042735043,0.10042735042735043,0.7888888888888889,0.3826935684177966,104.49447885647936,470.35020929196617
estimated_service_time_first,steady_moderate,180,180,0,1.0,"{'count': 180, 'mean': 0.0207527925984727, 'p50': 0.018712547491304576, 'p95': 0.038464531709905714, 'p99': 0.04510332711040975}","{'count': 180, 'mean': 1.4709227272623038, 'p50': 1.3498875814839266, 'p95': 2.839876650556107, 'p99': 2.8500287868792658}","{'count': 180, 'mean': 2.694062222222222, 'p50': 1.8679000000000001, 'p95': 6.639539999999991, 'p99': 11.013222000000015}",272.4222222222222,0.46646341463414637,0.46646341463414637,0.4111111111111111,0.3826935684177966,104.25423233852818,470.35020929196617
fifo,bursty_tight,180,180,0,1.0,"{'count': 180, 'mean': 0.018289513712322028, 'p50': 0.017039377969922498, 'p95': 0.02697348930814769, 'p99': 0.028884495868114757}","{'count': 180, 'mean': 1.469502609047211, 'p50': 1.3119982209755108, 'p95': 2.7780747190350668, 'p99': 2.787103611541679}","{'count': 180, 'mean': 2.51979, 'p50': 1.7383, 'p95': 6.958689999999984, 'p99': 11.00078000000002}",276.31111111111113,0.19623655913978494,0.19623655913978494,0.7,0.38571290908179406,106.5767624782895,466.6683322279714
fifo,overloaded_mixed_priority,180,180,0,1.0,"{'count': 180, 'mean': 0.018419586195765683, 'p50': 0.017194717976963148, 'p95': 0.026841155276633798, 'p99': 0.027945426125661473}","{'count': 180, 'mean': 1.4663064392280325, 'p50': 1.310193517972948, 'p95': 2.7958944069832796, 'p99': 2.8018342027650216}","{'count': 180, 'mean': 2.5085955555555555, 'p50': 1.7383000000000002, 'p95': 6.942009999999985, 'p99': 10.98529900000002}",275.6111111111111,0.13675213675213677,0.13675213675213677,0.7222222222222222,0.38571290908179406,106.30676344193225,466.6683322279714
fifo,steady_moderate,180,180,0,1.0,"{'count': 180, 'mean': 0.02026067676261947, 'p50': 0.018410471529932693, 'p95': 0.0354324906336842, 'p99': 0.03871779158012942}","{'count': 180, 'mean': 1.465691540784125, 'p50': 1.337133825494675, 'p95': 2.7812332978006453, 'p99': 2.8181237951718505}","{'count': 180, 'mean': 2.6724005555555554, 'p50': 1.8471000000000002, 'p95': 6.480784999999991, 'p99': 10.92758800000001}",272.4222222222222,0.45121951219512196,0.45121951219512196,0.4222222222222222,0.38571290908179406,105.0767678318603,466.6683322279714
least_laxity_first,bursty_tight,180,180,0,1.0,"{'count': 180, 'mean': 0.01854519697565896, 'p50': 0.017345235508400947, 'p95': 0.026298757805489, 'p99': 0.029958044472732585}","{'count': 180, 'mean': 1.4652502625854038, 'p50': 1.3231362179794814, 'p95': 2.792720001700218, 'p99': 2.817985684866435}","{'count': 180, 'mean': 2.547267777777778, 'p50': 1.74005, 'p95': 7.8947249999999976, 'p99': 11.17302900000002}",272.8222222222222,0.17204301075268819,0.17204301075268819,0.7555555555555555,0.3856363459007891,105.21016485831083,466.76098327699583
least_laxity_first,overloaded_mixed_priority,180,180,0,1.0,"{'count': 180, 'mean': 0.018775509125811773, 'p50': 0.01765674800844863, 'p95': 0.027939086480182587, 'p99': 0.03344897176371888}","{'count': 180, 'mean': 1.4924320208397046, 'p50': 1.3466202909767162, 'p95': 2.8472034852427894, 'p99': 2.8805268498358787}","{'count': 180, 'mean': 2.5793472222222222, 'p50': 1.99235, 'p95': 6.9628949999999845, 'p99': 11.214978000000018}",276.1333333333333,0.1047008547008547,0.1047008547008547,0.7833333333333333,0.3856363459007891,106.48704964807123,466.76098327699583
least_laxity_first,steady_moderate,180,180,0,1.0,"{'count': 180, 'mean': 0.01990072421807175, 'p50': 0.018427224014885724, 'p95': 0.0353897841181606, 'p99': 0.03858056265511551}","{'count': 180, 'mean': 1.4466853592441313, 'p50': 1.3163454825116787, 'p95': 2.8104408988379874, 'p99': 2.8328927244467197}","{'count': 180, 'mean': 2.658288333333333, 'p50': 1.8549, 'p95': 6.495784999999992, 'p99': 10.825222000000016}",272.4,0.46646341463414637,0.46646341463414637,0.4111111111111111,0.3856363459007891,105.04734062337495,466.76098327699583
selector,bursty_tight,180,164,16,0.9111111111111111,"{'count': 164, 'mean': 0.021315668586417237, 'p50': 0.020202350482577458, 'p95': 0.0298733739182353, 'p99': 0.05861377041845122}","{'count': 164, 'mean': 1.4630180327306934, 'p50': 1.3318677924980875, 'p95': 2.953241216726019, 'p99': 3.0060157322423766}","{'count': 164, 'mean': 2.354521951219512, 'p50': 1.5603, 'p95': 5.8488, 'p99': 8.671694000000002}",264.2073170731707,0.20771513353115728,0.18925156610616553,0.7073170731707317,0.39192254937857357,103.5488052717902,418.45002350601135
selector,overloaded_mixed_priority,180,142,38,0.7888888888888889,"{'count': 142, 'mean': 0.020241570590936224, 'p50': 0.019324802997289225, 'p95': 0.028612233116291463, 'p99': 0.049900150091853064}","{'count': 142, 'mean': 1.327573500569536, 'p50': 0.9847990495036356, 'p95': 2.7868992443225578, 'p99': 2.8295693297765685}","{'count': 142, 'mean': 2.041780985915493, 'p50': 1.5206, 'p95': 5.457304999999999, 'p99': 6.347511000000004}",246.92957746478874,0.10682492581602374,0.08427299703264095,0.7535211267605634,0.33934757324242343,83.79495287445307,418.45002350601135
selector,steady_moderate,180,175,5,0.9722222222222222,"{'count': 175, 'mean': 0.019071938341949136, 'p50': 0.01731417200062424, 'p95': 0.028435714420629657, 'p99': 0.04609297891962324}","{'count': 175, 'mean': 1.4621826650963963, 'p50': 1.327851373993326, 'p95': 2.947631653834833, 'p99': 3.079009456717176}","{'count': 175, 'mean': 2.7542222857142855, 'p50': 1.986, 'p95': 6.382779999999986, 'p99': 11.500621999999973}",268.41714285714284,0.46645367412140576,0.4534966276180334,0.41714285714285715,0.41821003744664864,112.25474336560815,418.45002350601135
shortest_output_first,bursty_tight,180,180,0,1.0,"{'count': 180, 'mean': 0.018686579099287174, 'p50': 0.016811188485007733, 'p95': 0.02744404399418272, 'p99': 0.028846359294839204}","{'count': 180, 'mean': 1.4996782758237612, 'p50': 1.3466450904961675, 'p95': 2.81818619169062, 'p99': 2.831162887610262}","{'count': 180, 'mean': 2.5719266666666667, 'p50': 1.77965, 'p95': 7.172479999999988, 'p99': 11.178479000000019}",276.3666666666667,0.19623655913978494,0.19623655913978494,0.7,0.3807151725988384,105.21698320056565,472.79439579800237
shortest_output_first,overloaded_mixed_priority,180,180,0,1.0,"{'count': 180, 'mean': 0.018724335836789882, 'p50': 0.017839732492575422, 'p95': 0.02765011049050372, 'p99': 0.029898641115869404}","{'count': 180, 'mean': 1.4858303884338562, 'p50': 1.335155089996988, 'p95': 2.846990376210306, 'p99': 2.8973026586999184}","{'count': 180, 'mean': 2.5461694444444443, 'p50': 1.7439, 'p95': 7.002789999999985, 'p99': 11.15060500000002}",276.03333333333336,0.1346153846153846,0.1346153846153846,0.7277777777777777,0.3807151725988384,105.0900781430327,472.79439579800237
