policy,target_output_tokens,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,64,180,180,0,0.681367623559264,0.01814111839954017
edf,128,180,180,0,1.2250511667555353,0.01884172611462418
edf,256,180,180,0,2.4436636554584967,0.01921373570803553
estimated_service_time_first,64,180,180,0,0.6921767301126642,0.01897479743994255
estimated_service_time_first,128,180,180,0,1.2421244757550691,0.01959771397458907
estimated_service_time_first,256,180,180,0,2.520473553309825,0.01967769209554212
fifo,64,180,180,0,0.6913555723582653,0.01867511699998027
fifo,128,180,180,0,1.223375652433606,0.0192240912363761
fifo,256,180,180,0,2.4867693642674973,0.019070568434350812
least_laxity_first,64,180,180,0,0.6867319561951768,0.018679128064670498
least_laxity_first,128,180,180,0,1.2342723625236733,0.019273620435463577
least_laxity_first,256,180,180,0,2.48336332395039,0.01926868181940841
selector,64,180,180,0,0.6976666488057365,0.019988823542694767
selector,128,180,161,0,1.2568311793762201,0.020332082745225764
selector,256,180,140,0,2.5457324583998084,0.020258630873286165
shortest_output_first,64,180,180,0,0.6958417738360974,0.018950861599619707
shortest_output_first,128,180,180,0,1.2340063816667275,0.019415766906846935
shortest_output_first,256,180,180,0,2.5275487030626715,0.01938819955749851
vllm_direct,64,180,180,0,0.7025290092146154,0.01979000716431377
vllm_direct,128,180,180,0,1.2423626756932613,0.019648732937316202
vllm_direct,256,180,180,0,2.5418506715424076,0.01993986151711498
