policy,target_output_tokens,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,64,180,180,0,0.6960048767337058,0.019159503956972104
edf,128,180,180,0,1.2474869832894506,0.019307087421313755
edf,256,180,180,0,2.504371415201846,0.019772992535339047
estimated_service_time_first,64,180,180,0,0.6948095335728592,0.019147445811864196
estimated_service_time_first,128,180,180,0,1.2527003803675245,0.019313736201082874
estimated_service_time_first,256,180,180,0,2.510360300900518,0.019332282328266753
fifo,64,180,180,0,0.6908441471776718,0.018880655239142168
fifo,128,180,180,0,1.2397028481746222,0.019738624856432175
fifo,256,180,180,0,2.499862619892681,0.01934197141381446
least_laxity_first,64,180,180,0,0.6989296633989498,0.01907718877773732
least_laxity_first,128,180,180,0,1.2696099800138554,0.019470007743479477
least_laxity_first,256,180,180,0,2.5217187958788903,0.019634916905973417
selector,64,180,180,0,0.6828348940833369,0.018604871832455197
selector,128,180,162,0,1.2490033223624284,0.019801490936201226
selector,256,180,141,0,2.4721201568002256,0.019973220607903224
shortest_output_first,64,180,180,0,0.6960718180832272,0.018845046690936822
shortest_output_first,128,180,180,0,1.2474057366088447,0.019487631264039212
shortest_output_first,256,180,180,0,2.5283083935882638,0.01944172030909815
vllm_direct,64,180,180,0,0.6850113529437092,0.01921129918256257
vllm_direct,128,180,180,0,1.234981981401668,0.01933168716237156
vllm_direct,256,180,180,0,2.4821450801171725,0.019383741905524707
