reserve,source_dataset,window_index,axis,condition_id,scenario_id,decision_states,disagreement_states,sim_step_calls_check,wall_s
0.9,azure_2023_code,1,active_sequence_capacity,active_8,azure_2023_code::w1::faithful::phase_b_v2::active_8,4241,0,4241,1.267
0.9,azure_2023_code,3,active_sequence_capacity,active_8,azure_2023_code::w3::faithful::phase_b_v2::active_8,7174,0,7174,1.976
0.9,azure_2023_code,5,active_sequence_capacity,active_8,azure_2023_code::w5::faithful::phase_b_v2::active_8,5109,0,5109,1.517
0.9,azure_2023_code,7,active_sequence_capacity,active_8,azure_2023_code::w7::faithful::phase_b_v2::active_8,4521,3,4521,1.328
0.9,azure_2023_code,9,active_sequence_capacity,active_8,azure_2023_code::w9::faithful::phase_b_v2::active_8,6669,0,6669,1.835
0.9,azure_2023_code,11,active_sequence_capacity,active_8,azure_2023_code::w11::faithful::phase_b_v2::active_8,2696,7,2696,0.984
0.9,azure_2023_code,13,active_sequence_capacity,active_8,azure_2023_code::w13::faithful::phase_b_v2::active_8,4236,0,4236,1.221
0.9,azure_2023_code,15,active_sequence_capacity,active_8,azure_2023_code::w15::faithful::phase_b_v2::active_8,5048,0,5048,1.419
0.9,azure_2023_code,17,active_sequence_capacity,active_8,azure_2023_code::w17::faithful::phase_b_v2::active_8,4705,0,4705,1.322
0.9,azure_2023_code,19,active_sequence_capacity,active_8,azure_2023_code::w19::faithful::phase_b_v2::active_8,4619,0,4619,1.306
0.9,azure_2023_code,21,active_sequence_capacity,active_8,azure_2023_code::w21::faithful::phase_b_v2::active_8,4330,0,4330,1.292
0.9,azure_2023_code,23,active_sequence_capacity,active_8,azure_2023_code::w23::faithful::phase_b_v2::active_8,4877,0,4877,1.439
0.9,azure_2023_code,25,active_sequence_capacity,active_8,azure_2023_code::w25::faithful::phase_b_v2::active_8,4974,0,4974,1.412
0.9,azure_2023_code,27,active_sequence_capacity,active_8,azure_2023_code::w27::faithful::phase_b_v2::active_8,4066,0,4066,1.18
0.9,azure_2023_code,29,active_sequence_capacity,active_8,azure_2023_code::w29::faithful::phase_b_v2::active_8,4974,0,4974,1.409
0.9,azure_2023_code,31,active_sequence_capacity,active_8,azure_2023_code::w31::faithful::phase_b_v2::active_8,4529,0,4529,1.342
0.9,azure_2023_code,33,active_sequence_capacity,active_8,azure_2023_code::w33::faithful::phase_b_v2::active_8,4087,0,4087,1.275
0.9,azure_2023_code,35,active_sequence_capacity,active_8,azure_2023_code::w35::faithful::phase_b_v2::active_8,3992,0,3992,1.217
0.9,azure_2023_code,37,active_sequence_capacity,active_8,azure_2023_code::w37::faithful::phase_b_v2::active_8,5462,0,5462,1.554
0.9,azure_2023_code,39,active_sequence_capacity,active_8,azure_2023_code::w39::faithful::phase_b_v2::active_8,4098,0,4098,1.218
0.9,azure_2023_code,1,active_sequence_capacity,active_4,azure_2023_code::w1::faithful::phase_b_v2::active_4,4241,3,4241,1.261
0.9,azure_2023_code,3,active_sequence_capacity,active_4,azure_2023_code::w3::faithful::phase_b_v2::active_4,7174,0,7174,1.973
0.9,azure_2023_code,5,active_sequence_capacity,active_4,azure_2023_code::w5::faithful::phase_b_v2::active_4,5109,8,5109,1.526
0.9,azure_2023_code,7,active_sequence_capacity,active_4,azure_2023_code::w7::faithful::phase_b_v2::active_4,4540,14,4540,1.352
0.9,azure_2023_code,9,active_sequence_capacity,active_4,azure_2023_code::w9::faithful::phase_b_v2::active_4,6669,0,6669,1.833
0.9,azure_2023_code,11,active_sequence_capacity,active_4,azure_2023_code::w11::faithful::phase_b_v2::active_4,2772,51,2772,1.078
0.9,azure_2023_code,13,active_sequence_capacity,active_4,azure_2023_code::w13::faithful::phase_b_v2::active_4,4237,0,4237,1.213
0.9,azure_2023_code,15,active_sequence_capacity,active_4,azure_2023_code::w15::faithful::phase_b_v2::active_4,5067,2,5067,1.421
0.9,azure_2023_code,17,active_sequence_capacity,active_4,azure_2023_code::w17::faithful::phase_b_v2::active_4,4705,0,4705,1.313
