absolute_winner_margin,best_policy,best_value,classification,max_min_spread,objective_name,relative_winner_margin,second_best_policy,second_best_value,shape,tie_set,window_idx
0.0,vllm_faithful,1.0,NEAR_TIE,1.0,weighted_goodput,0.0,sarathi_faithful,1.0,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0,vllm_faithful,1.0,NEAR_TIE,1.0,arrival_normalized_weighted_goodput,0.0,sarathi_faithful,1.0,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0,vllm_faithful,100.0,NEAR_TIE,18.91891891891892,slo_success_throughput,0.0,sarathi_faithful,100.0,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0005999999999999998,admission_control,0.0303,NEAR_TIE,0.0063,p95_latency,0.019801980198019795,vllm_faithful,0.0309,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0,vllm_faithful,1.0,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,slo_attainment,0.0,sarathi_faithful,1.0,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0,vllm_faithful,100.0,NEAR_TIE,18.91891891891892,request_throughput,0.0,sarathi_faithful,100.0,same_arrival_heterogeneous_cluster,"['admission_control', 'best_fit', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",0
0.0,vllm_faithful,0.75,NEAR_TIE,0.75,weighted_goodput,0.0,sarathi_faithful,0.75,closely_spaced_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",1
0.0,vllm_faithful,0.75,NEAR_TIE,0.75,arrival_normalized_weighted_goodput,0.0,sarathi_faithful,0.75,closely_spaced_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",1
0.0,vllm_faithful,62.5,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,slo_success_throughput,0.0,sarathi_faithful,62.5,closely_spaced_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",1
-0.0,vllm_faithful,0.04825,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,p95_latency,-0.0,sarathi_faithful,0.04825,closely_spaced_heterogeneous_cluster,"['admission_control', 'best_fit', 'edf', 'estimated_service_time_first', 'fifo', 'multi_bin_batching', 'sarathi_faithful', 'vllm_chunked_prefill_faithful', 'vllm_faithful', 'weighted_shortest_processing']",1
