canonical_scenario_id,mechanism_family,anwg__chunked_prefill_small,anwg__estimated_service_time_first,anwg__full_prefill,anwg__kv_constrained_online,anwg__least_laxity_first,anwg__weighted_fair_share,source__chunked_prefill_small,source__estimated_service_time_first,source__full_prefill,source__kv_constrained_online,source__least_laxity_first,source__weighted_fair_share,n_anchors_populated
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,0.5416666666666666,0.725,0.5416666666666666,0.65,0.4583333333333333,0.75,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,0.4583333333333333,0.6583333333333333,0.4583333333333333,0.5916666666666667,0.3416666666666667,0.6583333333333333,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,0.725,0.8416666666666667,0.725,0.8583333333333333,0.8,0.85,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,0.5166666666666667,0.7083333333333334,0.5166666666666667,0.6583333333333333,0.5416666666666666,0.7416666666666667,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,0.5583333333333333,0.925,0.5583333333333333,0.975,0.5333333333333333,0.8666666666666667,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,0.475,0.85,0.475,0.7833333333333333,0.45,0.7583333333333333,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,0.6,0.9583333333333334,0.6,0.95,0.6416666666666667,0.9416666666666667,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,0.6083333333333333,0.925,0.6083333333333333,0.9333333333333333,0.5666666666666667,0.8333333333333334,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,0.16666666666666666,0.5,0.16666666666666666,0.5075757575757576,0.5606060606060606,0.6484848484848484,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,0.12424242424242424,0.3787878787878788,0.12424242424242424,0.5136363636363637,0.4712121212121212,0.5242424242424243,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,STEP2_CROSS_FAMILY_EVALUATION,SOURCE_NATIVE,6
