active_sequence_capacity_binding_states,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,completed_window_count,condition_id,disagreement_rate,disagreement_states,invalid_window_count,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_queue_length,mean_active_pressure,mean_active_sequences,mean_completion_fraction,mean_kv_pressure,mean_kv_utilization,mean_queue_length,min_completion_fraction,no_policy_choice_states,policy_ranking_proxy_difference_states,pressure_order,pressure_regime_class,requests,sbs_decision_states,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unfinished_request_count,windows,windows_with_disagreement
0,1.0,active_sequence_capacity,512.0,194,20,active_512,0.0,0,0,0,0,0.017578125,9,512,0.0027155,8000000,0.0027155,4,0.0026553686794943596,1.3595487639011121,1.0,0.00034507713117049363,0.00034507713117049363,0.04000320025602048,1.0,99992,194,0,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,active_sequence_capacity,64.0,194,20,active_64,0.0,0,0,0,0,0.140625,9,64,0.0027155,8000000,0.0027155,4,0.021242949435954877,1.3595487639011121,1.0,0.00034507713117049363,0.00034507713117049363,0.04000320025602048,1.0,99992,194,1,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,active_sequence_capacity,32.0,194,20,active_32,0.0,0,0,0,0,0.28125,9,32,0.0027155,8000000,0.0027155,4,0.042485898871909754,1.3595487639011121,1.0,0.00034507713117049363,0.00034507713117049363,0.04000320025602048,1.0,99992,194,2,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,active_sequence_capacity,16.0,194,20,active_16,0.0,0,0,0,0,0.5625,9,16,0.0027155,8000000,0.0027155,4,0.08497179774381951,1.3595487639011121,1.0,0.00034507713117049363,0.00034507713117049363,0.04000320025602048,1.0,99992,194,3,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
86,1.0,active_sequence_capacity,8.0,194,20,active_8,1.000080006400512e-05,1,0,0,0,1.0,8,8,0.0027155,8000000,0.0027155,4,0.169918593487479,1.359348747899832,1.0,0.00034507713117049363,0.00034507713117049363,0.040203216257300584,1.0,99991,194,4,VALID_STRONGLY_CONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,1,0,20,1
3613,1.0,active_sequence_capacity,4.0,525,20,active_4,0.0009987316108542152,100,0,0,0,1.0,4,4,0.00270125,8000000,0.00270125,5,0.3359258741398424,1.3437034965593695,1.0,0.00034499316617895274,0.00034499316617895274,0.06556673025257923,1.0,100027,583,5,VALID_STRONGLY_CONSTRAINED,4000,100127,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,100,0,20,16
0,0.5,arrival_pressure,0.5,156,20,arrival_x0p5,0.0,0,0,0,0,0.017578125,9,512,0.002305875,8000000,0.002305875,4,0.002429421660003719,1.243863889921904,1.0,0.00032075568984752696,0.00032075568984752696,0.03718854592785422,1.0,107560,156,0,VALID_UNCONSTRAINED,4000,107560,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,arrival_pressure,1.0,194,20,arrival_x1p0,0.0,0,0,0,0,0.017578125,9,512,0.0027155,8000000,0.0027155,4,0.0026553686794943596,1.3595487639011121,1.0,0.00034507713117049363,0.00034507713117049363,0.04000320025602048,1.0,99992,194,1,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,2.0,arrival_pressure,2.0,271,20,arrival_x2p0,0.0,0,0,0,0,0.021484375,11,512,0.003186875,8000000,0.003186875,4,0.003149618781210895,1.6126048159799782,1.0,0.0004035052144853638,0.0004035052144853638,0.04677979580619131,1.0,85507,271,2,VALID_UNCONSTRAINED,4000,85507,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,4.0,arrival_pressure,4.0,364,20,arrival_x4p0,0.0,0,0,0,0,0.03515625,18,512,0.004212,8000000,0.004212,5,0.00413336093731401,2.1162807999047732,1.0,0.0005134726613647185,0.0005134726613647185,0.05951672419950006,1.0,67208,364,3,VALID_UNCONSTRAINED,4000,67208,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
