axis,condition_id,continuation_returns_to_sbs,decision_step,duplicate_canonical_actions_not_relabelled,forced_branch_count,future_arrivals_preserved,original_live_state_not_mutated,population_count,population_ids_hash,pressure_config_preserved,random_state_preserved,reference_branch_count,regime_stage,same_completed_request_ids_all_branches,same_request_population_all_branches,sbs_hash_match,source_dataset,state_id,validity_class,window_index,workload_window_identity_preserved
active_sequence_capacity,active_4,True,2801,True,1,True,True,133,6b117a68df57de023adc31a75ce3447530c0a4de19c44ac92b1acf91d6fcaea3,True,True,1,strongest-valid,True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step2801,VALID,7,True
active_sequence_capacity,active_4,True,2808,True,2,True,True,39,d2c0b53e5c093870b722f99c75658855a625c110d534a14d9d117ee3d9afe9a4,True,True,1,strongest-valid,True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2808,VALID,11,True
kv_capacity,kv_16000,True,2926,True,1,True,True,26,04f8265dcbe17ea30942c39a33343363018acf97c12cf04c10c2a078c80c7999,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::kv_16000::step2926,VALID,11,True
kv_capacity,kv_16000,True,3020,True,1,True,True,22,8794f46eb02555077c7efa0445d81d78c87c06a7b21be68c0ccaea25c6203f8a,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::kv_16000::step3020,VALID,11,True
kv_capacity,kv_16000,True,3200,True,2,True,True,15,49afa206f0c6d69507dbf9967a97bf7665875ee99bf50ad2c174a931da205ecb,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::kv_16000::step3200,VALID,11,True
kv_capacity,kv_16000,True,10205,True,1,True,True,74,b2d6409d08a1c21a2bdb168b76e05e03239b52e07dae0ef57ed96ed28ea398c0,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w21::faithful::kv_16000::step10205,VALID,21,True
kv_capacity,kv_16000,True,17471,True,2,True,True,16,005d1864c3e0c8819cee46be1b6158fbfd066e846e67159f083625d734c47e39,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w35::faithful::kv_16000::step17471,VALID,35,True
kv_capacity,kv_16000,True,17480,True,2,True,True,16,005d1864c3e0c8819cee46be1b6158fbfd066e846e67159f083625d734c47e39,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w35::faithful::kv_16000::step17480,VALID,35,True
active_sequence_capacity,active_4,True,30678,True,1,True,True,54,daaf127b113e509954db63149d5b784c6aefd65d0208dc626b27d1470093b351,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_conv,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_conv::w11::faithful::active_4::step30678,VALID,11,True
kv_capacity,kv_16000,True,520,True,1,True,True,195,a653952cb042be8642fa721bc0aac918ab72d8e0c8f50fbdde74e250fdbd245b,True,True,1,"onset,strongest-valid",True,True,True,azure_2023_conv,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_conv::w18::faithful::kv_16000::step520,VALID,18,True
kv_capacity,kv_16000,True,576,True,1,True,True,194,368639f622e8a532d90b3c5fb8a33153d0d7e1df417cb001bb349ff8fa9868a8,True,True,1,"onset,strongest-valid",True,True,True,azure_2023_conv,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_conv::w18::faithful::kv_16000::step576,VALID,18,True
active_sequence_capacity,active_4,True,25589,True,1,True,True,83,02091991f9f396a2ee9711ce3c7d7b634c7c809deab4a634a05404567ae9fffe,True,True,1,"onset,strongest-valid,sustained",True,True,True,azure_2023_conv,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_conv::w23::faithful::active_4::step25589,VALID,23,True
